Buffalo,Pig,Grazing,Weed
0.384076027,0.504874133,0.2254318,0
0.469698405,0.617426129,0.35863874,0
0.319205252,0.419600453,0.348045502,0
0.43772232,0.57539305,0.014430999,0
0.157280689,0.206748002,0.371976731,0
0.815178412,2.143130342,0.276908333,28.05660023
0.08326391,0.109451753,0.113593174,0
0.743249262,1.954026287,0.009684662,25.58096131
0.108017626,0.141990911,0.057405453,0
0.246357997,0.32384156,0.602209345,0
0.164003165,0.431169612,0.247960784,5.644618614
0.060678552,0.15952587,0.161359216,2.088418734
0.00186692,0.004908193,0.152555224,0.064255175
0.380102359,0.999301364,0.189625049,13.08226491
0.193761566,0.254702703,0.693903664,0
0.255603651,0.335995122,0.148046934,0
0.111690802,0.293638721,0.150559119,3.8441452
0.576401593,1.515378382,0.124536102,19.83844129
0.352587337,0.926963482,0.662984551,12.13525996
0.166770405,0.438444774,0.344755622,11.47972152
1.089929591,1.432730026,0.309790606,0
0.329506541,0.433141662,0.048126576,0
0.277846535,1.460935008,0.072836012,3.187616783
0.393043503,1.033324048,0.180708587,13.52766986
0.078985362,0.207655064,0.209474336,2.718497795
0.087183219,0.229207496,0.486821487,6.00129908
0.311874784,0.409964434,0.251755069,0
0.36025923,1.894266273,0.358124644,0
0.341341727,0.448699206,0.056177643,0
0.116582226,0.306498432,0.29829724,4.012496961
0.010209971,0.013421171,0.567902196,0
0.165835196,0.21799304,0.109123731,0
0.318303186,0.418414672,0.148754907,0
0.243602942,0.640439993,0.254015387,16.7685264
0.597623729,0.785586031,0.505024709,0
0.104441494,0.274580057,0.427366181,3.594640394
0.222999173,0.58627202,0.024184345,15.35025599
0.086948418,0.457180392,0.605696422,0.997522739
0.013918957,0.018296693,0.063002924,0
0.311398428,0.818676512,0.108338248,21.43526145
0.11394372,0.599123431,0.508247171,1.307228517
0.207875766,1.093024187,0.858148468,2.384871486
0.101448413,0.133355575,0.227245609,0
0.010865601,0.057132034,0.267061521,0.124656489
0.144246447,0.758457125,0.065850671,1.654878997
0.090427391,0.237736528,0.331281481,6.22461322
0.876855391,2.305281109,0.216014706,30.17938257
0.098583952,0.518360777,0.080669508,1.131012334
0.0440634,0.2316882,0.233640508,0.505520909
0.087203301,0.458520581,0.130070448,1.000446899
0.146872516,0.386132582,0.13802263,10.11004069
0.335529537,0.441058988,0.211538402,0
0.274842153,1.445137772,0.032905025,3.153148765
0.111431896,0.585916097,0.094356224,1.278411411
0.475716981,0.625337644,0.330047713,0
0.19331736,0.254118788,0.456507935,0
0.274911413,0.722750973,0.114784313,3.153943357
0.048880117,0.257014808,0.678956541,0
0.177122681,0.931322485,0.722468387,2.032054245
0.011132747,0.014634175,0.053452762,0
0.113288322,0.595677305,0.428143561,1.299709408
0.115971686,0.152446651,0.047350245,0
0.209632082,1.102259011,0.065967444,2.405020966
0.01101575,0.057921522,0.545702435,0.126379075
0.126681347,0.666098696,0.397528965,0
0.089241661,0.234619206,0.269460281,0
0.049781009,0.065437939,0.335998648,0
0.274543247,0.360891526,0.014501563,0
0.122868323,0.323024784,0.381950653,0
