FaunalGroup,Threat,Intensity,EcologicalGroup,PP_BestGuess,norm_Lb,norm_Ub
1,3,3,3,0.460,0.221,0.737
1,3,3,4,0.440,0.214,0.765
1,3,3,5,0.400,0.154,0.766
1,3,3,6,0.420,0.163,0.744
2,3,1,1,0.8875,0.798634454,0.936764706
2,3,1,2,0.9,0.792129929,0.952884615
2,3,1,3,0.9,0.796232493,0.950833333
2,3,1,4,0.9,0.780042017,0.9375
2,3,1,5,0.8875,0.764245314,0.940384615
2,3,1,6,0.9,0.789565826,0.9375
2,3,2,1,0.7875,0.674369748,0.919117647
2,3,2,2,0.8375,0.700274725,0.930769231
2,3,2,3,0.7875,0.669761905,0.915
2,3,2,4,0.825,0.708732493,0.912696078
2,3,2,5,0.825,0.704629929,0.916798643
2,3,2,6,0.8375,0.717129929,0.929298643
2,3,3,1,0.675,0.500420168,0.867436975
2,3,3,2,0.7625,0.603965201,0.898507326
2,3,3,3,0.675,0.507380952,0.860238095
2,3,3,4,0.7375,0.613452381,0.867738095
2,3,3,5,0.7375,0.596016484,0.871840659
2,3,3,6,0.725,0.553278388,0.891776557
3,3,1,1,0.9,0.821428571,0.982142857
3,3,1,2,0.875,0.744327731,0.95210084
3,3,1,3,0.875,0.744327731,0.95210084
3,3,1,4,0.875,0.767857143,0.985714286
3,3,1,5,0.925,0.817857143,0.978571429
3,3,1,6,0.925,0.817857143,0.978571429
3,3,2,1,0.775,0.646428571,0.917857143
3,3,2,2,0.775,0.614285714,0.928571429
3,3,2,3,0.775,0.614285714,0.928571429
3,3,2,4,0.7625,0.642857143,0.935714286
3,3,2,5,0.8375,0.742857143,0.928571429
3,3,2,6,0.8125,0.717857143,0.903571429
3,3,3,1,0.6,0.404761905,0.820238095
3,3,3,2,0.6,0.433333333,0.783333333
3,3,3,3,0.625,0.417857143,0.81547619
3,3,3,4,0.625,0.441666667,0.788888889
3,3,3,5,0.65,0.541666667,0.795833333
3,3,3,6,0.6625,0.541666667,0.783333333
1,4,1,1,0.900,0.662,1.000
1,4,1,2,0.830,0.650,0.969
1,4,1,3,0.860,0.670,0.966
1,4,1,4,0.870,0.668,0.963
1,4,1,5,0.850,0.650,0.963
1,4,1,6,0.870,0.690,0.963
1,4,2,1,0.800,0.605,0.957
1,4,2,2,0.710,0.526,0.921
1,4,2,3,0.740,0.575,0.929
1,4,2,4,0.750,0.564,0.913
1,4,2,5,0.740,0.537,0.903
1,4,2,6,0.700,0.515,0.907
